Technology_Type,Ready_for_Service_Date,Area_ID,Service_Status,State,longitude,latitude,discharge_amnt_total
Hybrid Fibre Coaxial (HFC),//,2SHA-A0409,Proposed,New South Wales,150.804337,-33.73665,1
Hybrid Fibre Coaxial (HFC),//,2SHA-A0411,Proposed,New South Wales,150.791159,-33.742283,1
Hybrid Fibre Coaxial (HFC),14/06/2019,2SHA-A0414,In Service,New South Wales,150.756103,-33.752062,1
Hybrid Fibre Coaxial (HFC),14/09/2018,2MIL-A0167,In Service,New South Wales,150.861246,-33.927259,1
Hybrid Fibre Coaxial (HFC),18/04/2019,2ING-A0008,In Service,New South Wales,150.813349,-34.017671,1
Hybrid Fibre Coaxial (HFC),12/04/2019,2ING-A0027,In Service,New South Wales,150.812307,-34.032883,1
Hybrid Fibre Coaxial (HFC),15/02/2019,2ING-A0030,In Service,New South Wales,150.881415,-33.984802,1
Hybrid Fibre Coaxial (HFC),21/12/2018,2ING-A0082,In Service,New South Wales,150.886291,-34.004442,1
Hybrid Fibre Coaxial (HFC),18/04/2019,2ING-A0108,In Service,New South Wales,150.818876,-34.023681,1
Hybrid Fibre Coaxial (HFC),12/04/2019,2ING-A0145,In Service,New South Wales,150.806403,-34.022191,1
Hybrid Fibre Coaxial (HFC),15/02/2019,2ING-A0157,In Service,New South Wales,150.893256,-33.976697,1
Hybrid Fibre Coaxial (HFC),18/01/2019,2ING-A0164,In Service,New South Wales,150.884541,-33.988371,1
Hybrid Fibre Coaxial (HFC),21/12/2018,2ING-A0166,In Service,New South Wales,150.878076,-34.007294,1
Hybrid Fibre Coaxial (HFC),21/12/2018,2ING-A0189,In Service,New South Wales,150.870657,-34.002308,1
Hybrid Fibre Coaxial (HFC),21/12/2018,2ING-A0193,In Service,New South Wales,150.876829,-34.016313,1
Hybrid Fibre Coaxial (HFC),18/01/2019,2ING-A0200,In Service,New South Wales,150.898701,-33.984752,1
Hybrid Fibre Coaxial (HFC),12/04/2019,2ING-A0213,In Service,New South Wales,150.809142,-34.029216,1
Hybrid Fibre Coaxial (HFC),21/12/2018,2ING-A0226,In Service,New South Wales,150.868108,-34.008289,1
Hybrid Fibre Coaxial (HFC),18/01/2019,2ING-A0228,In Service,New South Wales,150.888193,-33.994347,1
Hybrid Fibre Coaxial (HFC),9/11/2018,2ING-A0230,In Service,New South Wales,150.862731,-34.012698,1
Hybrid Fibre Coaxial (HFC),//,2ING-A0298,Proposed,New South Wales,150.879741,-34.021606,1
Hybrid Fibre Coaxial (HFC),18/04/2019,2ING-A0347,In Service,New South Wales,150.822922,-34.019107,1
Hybrid Fibre Coaxial (HFC),18/04/2019,2ING-A0366,In Service,New South Wales,150.806129,-34.011482,1
Hybrid Fibre Coaxial (HFC),21/12/2018,2ING-A0391,In Service,New South Wales,150.876682,-33.996043,1
Hybrid Fibre Coaxial (HFC),9/11/2018,2ING-A0481,In Service,New South Wales,150.862622,-34.006339,1
Hybrid Fibre Coaxial (HFC),9/11/2018,2ING-A0523,In Service,New South Wales,150.864308,-34.000157,1
Hybrid Fibre Coaxial (HFC),21/05/2019,2ING-A0566,In Service,New South Wales,150.897442,-33.995103,1
Hybrid Fibre Coaxial (HFC),17/03/2017,2ING-A0575,Under Construction,New South Wales,150.893368,-33.985572,1
Hybrid Fibre Coaxial (HFC),17/03/2017,2ING-A0592,Under Construction,New South Wales,150.896894,-33.987459,1
Hybrid Fibre Coaxial (HFC),12/11/2019,2ING-A0630,In Service,New South Wales,150.870943,-33.999253,1
Hybrid Fibre Coaxial (HFC),12/11/2019,2ING-A0631,In Service,New South Wales,150.870853,-33.999332,1
Hybrid Fibre Coaxial (HFC),27/11/2019,2ING-A0644,In Service,New South Wales,150.883371,-33.983266,1
Hybrid Fibre Coaxial (HFC),28/10/2019,2ING-A0645,In Service,New South Wales,150.870899,-33.999292,1
Hybrid Fibre Coaxial (HFC),29/10/2019,2ING-A0646,In Service,New South Wales,150.810291,-34.02456,1
Hybrid Fibre Coaxial (HFC),29/10/2019,2ING-A0647,In Service,New South Wales,150.862248,-34.006019,1
Hybrid Fibre Coaxial (HFC),28/05/2019,2ING-A0649,In Service,New South Wales,150.86632,-34.001971,1
Hybrid Fibre Coaxial (HFC),7/05/2019,2ING-A0650,In Service,New South Wales,150.868001,-34.002543,1
Hybrid Fibre Coaxial (HFC),10/01/2019,2ING-A0653,In Service,New South Wales,150.859503,-34.007815,1
Hybrid Fibre Coaxial (HFC),20/06/2019,2ING-A0654,In Service,New South Wales,150.860258,-34.005998,1
Hybrid Fibre Coaxial (HFC),2/08/2019,2ING-A0655,In Service,New South Wales,150.862132,-34.006205,1
Hybrid Fibre Coaxial (HFC),11/07/2019,2ING-A0656,In Service,New South Wales,150.858502,-34.00711,1
Hybrid Fibre Coaxial (HFC),29/04/2019,2ING-A0658,In Service,New South Wales,150.859401,-34.007901,1
Hybrid Fibre Coaxial (HFC),18/02/2019,2ING-A0659,In Service,New South Wales,150.874213,-34.013733,1
Hybrid Fibre Coaxial (HFC),23/10/2019,2ING-A0660,In Service,New South Wales,150.868538,-34.001379,1
Hybrid Fibre Coaxial (HFC),2/04/2019,2ING-A0661,In Service,New South Wales,150.868493,-34.001419,1
Hybrid Fibre Coaxial (HFC),28/06/2019,2ING-A0662,In Service,New South Wales,150.899959,-33.973009,1
Hybrid Fibre Coaxial (HFC),26/03/2019,2ING-A0663,In Service,New South Wales,150.868584,-34.001339,1
Hybrid Fibre Coaxial (HFC),16/08/2019,2ING-A0678,In Service,New South Wales,150.898685,-33.979797,1
Hybrid Fibre Coaxial (HFC),25/05/2018,2ING-A0679,In Service,New South Wales,150.892232,-33.980346,1
Hybrid Fibre Coaxial (HFC),16/04/2018,2ING-A0681,In Service,New South Wales,150.889451,-33.987241,1
Hybrid Fibre Coaxial (HFC),14/05/2019,2ING-A0682,In Service,New South Wales,150.870006,-33.998824,1
Hybrid Fibre Coaxial (HFC),27/06/2019,2ING-A0683,In Service,New South Wales,150.883609,-33.995775,1
Hybrid Fibre Coaxial (HFC),16/08/2018,2ING-A0684,In Service,New South Wales,150.898732,-33.996741,1
Hybrid Fibre Coaxial (HFC),30/09/2019,2ING-A0686,In Service,New South Wales,150.875335,-33.997756,1
Hybrid Fibre Coaxial (HFC),13/05/2019,2ING-A0687,In Service,New South Wales,150.874539,-33.996447,1
Hybrid Fibre Coaxial (HFC),29/07/2019,2ING-A0688,In Service,New South Wales,150.900011,-33.974776,1
Hybrid Fibre Coaxial (HFC),30/11/2018,2ING-A0689,In Service,New South Wales,150.892672,-33.997283,1
